% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/12/04 16:14:26
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (V)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (V)
159990.3488187986; -1.09755835591e-07
160040.4480278114; -7.53994651155e-08
160090.5629248376; -2.1188961981e-07
160140.6935147898; -2.01976185955e-07
160190.8398025818; -2.13049412084e-07
160241.0017931296; -1.58803250696e-07
160291.1794913503; -1.27277343789e-07
160341.3729021625; -2.03520373106e-07
160391.5820304863; -1.9197559496e-07
160441.8068812437; -1.40276122703e-07
160492.0474593577; -2.72443176938e-07
160542.3037697534; -1.90404020627e-07
160592.5758173568; -1.82000389368e-07
160642.8636070965; -2.69445201597e-07
160693.1671439015; -1.47889263497e-07
160743.4864327031; -2.04885817259e-07
160793.8214784336; -1.9613403574e-07
160844.1722860272; -7.17821603461e-08
160894.5388604196; -1.70758907443e-07
160944.9212065479; -2.65003464681e-07
160995.3193293506; -8.84417517403e-08
161045.7332337687; -1.8514566382e-07
161096.1629247435; -1.69262887012e-07
161146.6084072186; -1.80196661716e-07
161197.0696861389; -2.26894022703e-07
161247.5467664508; -2.47484985725e-07
161298.0396531023; -1.74449516328e-07
161348.5483510431; -2.46174262793e-07
161399.072865224; -1.87936977534e-07
161449.6132005982; -1.49543796548e-07
161500.1693621197; -2.10269861041e-07
161550.7413547444; -1.55590872333e-07
161601.3291834294; -2.71900924891e-07
161651.9328531337; -2.61202031595e-07
161702.5523688177; -2.04161048948e-07
161753.1877354431; -2.9820553449e-07
161803.8389579742; -2.73890729495e-07
161854.5060413756; -2.8381989415e-07
161905.1889906141; -3.28923147494e-07
161955.8878106578; -2.86665185061e-07
162006.6025064765; -2.67757400028e-07
162057.3330830416; -2.81151238168e-07
162108.0795453258; -2.33862306947e-07
162158.8418983034; -2.48414963044e-07
162209.620146951; -2.60343144033e-07
162260.4142962458; -3.10182714799e-07
162311.2243511669; -3.32584703998e-07
162362.0503166949; -2.60514623936e-07
162412.8921978122; -2.62803172039e-07
162463.7499995025; -4.06248307113e-07
162514.6237267512; -3.79770587844e-07
162565.5133845448; -3.80074468654e-07
162616.4189778724; -3.66767893944e-07
162667.3405117239; -3.40133380396e-07
162718.2779910907; -4.25970657113e-07
162769.2314209661; -2.69297849342e-07
162820.2008063447; -2.81493046506e-07
162871.1861522229; -3.47692083408e-07
162922.1874635985; -3.98118459108e-07
162973.2047454706; -3.95170528264e-07
163024.2380028409; -4.83249727558e-07
163075.2872407115; -4.3391389672e-07
163126.3524640866; -4.81603485064e-07
163177.4336779718; -4.00126598599e-07
163228.5308873745; -3.65882823811e-07
163279.6440973034; -4.6750245176e-07
163330.7733127686; -5.29970295019e-07
163381.9185387827; -4.99092575057e-07
163433.079780359; -4.91871729969e-07
163484.2570425124; -5.5879105332e-07
163535.4503302597; -5.73141122209e-07
163586.6596486191; -5.37618174666e-07
163637.8850026104; -5.50474543772e-07
163689.1263972551; -4.69913303299e-07
163740.3838375756; -5.90116162222e-07
163791.6573285972; -5.63329070533e-07
163842.9468753458; -5.9465736811e-07
163894.2524828488; -7.02317481914e-07
163945.5741561357; -4.42283728014e-07
163996.9119002372; -5.95459727534e-07
164048.2657201857; -6.7323404758e-07
164099.6356210152; -7.31064422368e-07
164151.0216077609; -6.67361746663e-07
164202.4236854606; -7.38862807516e-07
164253.8418591527; -6.97091702745e-07
164305.2761338775; -7.70611301715e-07
164356.7265146767; -7.58709126148e-07
164408.1930065939; -7.17004611558e-07
164459.6756146741; -7.57132077921e-07
164511.1743439639; -9.19751589046e-07
164562.689199511; -8.11574183441e-07
164614.2201863661; -7.36803011477e-07
164665.7673095799; -8.4831896072e-07
164717.3305742056; -7.39621127783e-07
164768.9099852975; -8.59726466369e-07
164820.5055479118; -1.22957123767e-06
164872.1172671061; -8.22635009164e-07
164923.7451479394; -4.90539820057e-07
164975.3891954731; -1.20096328805e-06
165027.0494147694; -1.37181239959e-06
165078.7258108922; -8.34530771949e-07
165130.4183889072; -9.49815045194e-07
165182.1271538816; -1.03972959318e-06
165233.852110884; -1.38132476888e-06
165285.5932649849; -1.04525475358e-06
165337.3506212558; -1.44166061031e-06
165389.1241847711; -5.25321418175e-07
165440.9139606053; -1.1923588765e-06
165492.7199538354; -9.51276769644e-07
165544.5421695395; -1.14387424497e-06
165596.3806127975; -1.03304852005e-06
165648.235288691; -1.09711828321e-06
