% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/12/04 16:32:43
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (V)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (V)
156688.5255184849; -1.59764372409e-06
156737.4982845969; -1.58891818008e-06
156786.4863570741; -1.54968337562e-06
156835.4897407008; -1.47296814776e-06
156884.5084402622; -1.63920922232e-06
156933.5424605455; -1.5783414782e-06
156982.591806339; -1.527842545e-06
157031.6564824328; -1.53019968053e-06
157080.7364936183; -1.64268184734e-06
157129.8318446881; -1.56426429931e-06
157178.9425404373; -1.59901428837e-06
157228.0685856616; -1.63520053479e-06
157277.2099851584; -1.5462943653e-06
157326.3667437268; -1.65012085309e-06
157375.538866167; -1.547275942e-06
157424.7263572812; -1.75222433739e-06
157473.9292218727; -1.85152487817e-06
157523.1474647465; -1.79824438989e-06
157572.381090709; -1.8986218152e-06
157621.6301045684; -1.87105117386e-06
157670.8945111338; -1.95465906206e-06
157720.1743152165; -1.98941710116e-06
157769.4695216288; -2.03455376403e-06
157818.7801351847; -2.10278148243e-06
157868.1061606996; -2.16801716939e-06
157917.4476029907; -2.46218833022e-06
157966.804466876; -2.47623189869e-06
158016.1767571761; -2.42475755854e-06
158065.5644787124; -2.59399665802e-06
158114.9676363076; -2.78395898327e-06
158164.3862347865; -2.67035721381e-06
158213.820278975; -2.81660450246e-06
158263.2697737007; -3.06096063138e-06
158312.7347237925; -3.10620928976e-06
158362.2151340811; -3.04501689965e-06
158411.7110093985; -3.22271048577e-06
158461.2223545782; -3.55552803387e-06
158510.7491744554; -3.59390647803e-06
158560.2914738666; -3.70160862194e-06
158609.8492576501; -3.69220587521e-06
158659.4225306453; -3.86365403639e-06
158709.0112976934; -4.09045054857e-06
158758.615563637; -4.29252290369e-06
158808.2353333203; -4.35613882751e-06
158857.8706115887; -4.44469784614e-06
158907.52140329; -4.63907576816e-06
158957.1877132725; -4.55724030015e-06
159006.8695463866; -4.73848495517e-06
159056.5669074838; -4.86086985291e-06
159106.2798014174; -4.84630091615e-06
159156.0082330423; -5.10179754392e-06
159205.7522072147; -5.35970577724e-06
159255.5117287925; -5.27335205971e-06
159305.2868026348; -5.60183539289e-06
159355.0774336026; -5.68260490563e-06
159404.8836265581; -5.70042535558e-06
159454.7053863654; -5.66084845358e-06
