% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/11/21 14:18:39
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (A)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (A)
130000; 1.11743411173e-08
130056.0699251321; 1.125926797e-08
130112.1640336221; 1.13019917409e-08
130168.2823359; 1.13102351188e-08
130224.4248424011; 1.12414077543e-08
130280.591563565; 1.12504506921e-08
130336.7825098352; 1.13086222713e-08
130392.9976916604; 1.13508826945e-08
130449.2371194939; 1.13065866593e-08
130505.5008037925; 1.13703274838e-08
130561.7887550186; 1.13937819507e-08
130618.1009836388; 1.13778315861e-08
130674.4375001237; 1.14723847929e-08
130730.7983149491; 1.14590423782e-08
130787.183438595; 1.14290398905e-08
130843.5928815463; 1.13935409387e-08
130900.0266542915; 1.14264120707e-08
130956.4847673245; 1.15035415353e-08
131012.9672311437; 1.14903151591e-08
131069.4740562512; 1.1540928419e-08
131126.0052531545; 1.16128058742e-08
131182.5608323656; 1.15381487014e-08
131239.1408044002; 1.16073350908e-08
131295.7451797794; 1.16261323118e-08
131352.3739690287; 1.16681528164e-08
131409.0271826776; 1.16327832932e-08
131465.7048312608; 1.16201112909e-08
131522.4069253173; 1.16748661002e-08
131579.1334753903; 1.17177257981e-08
131635.884492028; 1.17540040339e-08
131692.6599857833; 1.1717349715e-08
131749.4599672129; 1.1786901834e-08
131806.2844468786; 1.18034216561e-08
131863.1334353471; 1.17982697644e-08
131920.0069431886; 1.18940752191e-08
131976.9049809788; 1.18913976498e-08
132033.8275592978; 1.18503167061e-08
132090.7746887297; 1.18976640504e-08
132147.7463798638; 1.19021514469e-08
132204.742643294; 1.19209439442e-08
132261.7634896179; 1.19555642443e-08
132318.8089294386; 1.20351317595e-08
132375.8789733635; 1.2049500856e-08
132432.9736320047; 1.20807741117e-08
132490.0929159782; 1.20441511472e-08
132547.2368359054; 1.21312151728e-08
132604.4054024122; 1.2159532482e-08
132661.5986261283; 1.21813344743e-08
132718.8165176887; 1.21568010205e-08
132776.0590877333; 1.22251602198e-08
132833.3263469054; 1.22250243803e-08
132890.618305854; 1.2285721831e-08
132947.9349752324; 1.2291931865e-08
133005.2763656979; 1.23254352257e-08
133062.6424879132; 1.22500907074e-08
133120.0333525455; 1.22968296981e-08
133177.4489702659; 1.23486012992e-08
133234.8893517508; 1.23804257359e-08
133292.3545076813; 1.24462907118e-08
133349.8444487423; 1.2438690922e-08
133407.3591856238; 1.24363182606e-08
133464.898729021; 1.24698557686e-08
133522.4630896325; 1.25139759871e-08
133580.0522781624; 1.25331469792e-08
133637.6663053193; 1.26097344354e-08
133695.3051818159; 1.25928510082e-08
133752.9689183701; 1.26126854457e-08
133810.6575257046; 1.26226915882e-08
133868.3710145456; 1.26578914244e-08
133926.1093956251; 1.26875873109e-08
133983.8726796792; 1.26790722728e-08
134041.6608774491; 1.27127465888e-08
134099.4739996796; 1.27440692253e-08
134157.3120571212; 1.27067014054e-08
134215.1750605289; 1.27416820302e-08
134273.0630206614; 1.27993188367e-08
134330.9759482831; 1.27931288099e-08
134388.9138541628; 1.28041163647e-08
134446.8767490734; 1.27884787246e-08
134504.8646437931; 1.28126167567e-08
134562.8775491047; 1.28263610164e-08
134620.9154757949; 1.28592194393e-08
134678.9784346559; 1.29292398609e-08
134737.0664364846; 1.29553135936e-08
134795.1794920815; 1.29926164992e-08
134853.3176122529; 1.3084569504e-08
134911.4808078095; 1.29847646253e-08
134969.669089566; 1.30529277446e-08
135027.8824683425; 1.3056805794e-08
135086.1209549639; 1.30511398366e-08
135144.3845602587; 1.30733251788e-08
135202.673295061; 1.30692949566e-08
135260.9871702098; 1.311185104e-08
135319.3261965476; 1.31316854588e-08
135377.6903849227; 1.32463917699e-08
135436.0797461878; 1.32723043635e-08
135494.4942911997; 1.31980894563e-08
135552.9340308206; 1.32993810967e-08
135611.398975917; 1.33147380163e-08
135669.8891373606; 1.33214519937e-08
135728.4045260267; 1.33383699556e-08
135786.9451527965; 1.33106889116e-08
135845.5110285554; 1.33385791385e-08
135904.102164193; 1.33331430023e-08
135962.7185706044; 1.33514221149e-08
136021.3602586893; 1.33621844973e-08
136080.0272393514; 1.34074905123e-08
136138.7195234996; 1.34075025342e-08
136197.437122048; 1.33984321785e-08
136256.1800459142; 1.34085462053e-08
136314.9483060215; 1.34329682944e-08
136373.7419132979; 1.34884152105e-08
136432.5608786753; 1.34651703013e-08
136491.4052130909; 1.35189104569e-08
136550.2749274871; 1.35529926101e-08
136609.1700328097; 1.36225999646e-08
136668.0905400104; 1.36176616171e-08
136727.0364600454; 1.36581666738e-08
136786.007803875; 1.36505407659e-08
136845.0045824648; 1.35837555117e-08
136904.0268067853; 1.3620749673e-08
136963.0744878109; 1.36390494552e-08
137022.1476365215; 1.36882856748e-08
137081.2462639019; 1.37292429383e-08
137140.3703809405; 1.36947657508e-08
137199.5199986316; 1.37456399613e-08
137258.6951279737; 1.38045421373e-08
137317.8957799705; 1.38087982192e-08
137377.1219656295; 1.39090534615e-08
137436.3736959638; 1.38874115087e-08
137495.6509819915; 1.39524019379e-08
137554.9538347341; 1.39447885642e-08
137614.2822652191; 1.39312888157e-08
137673.6362844787; 1.40701781659e-08
137733.0159035489; 1.41040168202e-08
137792.4211334713; 1.40812263299e-08
137851.8519852925; 1.3974055719e-08
137911.3084700627; 1.41686759673e-08
137970.7905988379; 1.42257748268e-08
138030.2983826789; 1.40864948911e-08
138089.8318326501; 1.41759754293e-08
138149.3909598221; 1.41934467466e-08
138208.9757752697; 1.42082113898e-08
138268.586290072; 1.42819461473e-08
138328.2225153135; 1.42807962602e-08
138387.8844620836; 1.43511655594e-08
138447.5721414757; 1.42974803895e-08
138507.2855645886; 1.43050923823e-08
138567.0247425262; 1.44510526917e-08
138626.789686396; 1.44986902039e-08
138686.5804073115; 1.44895270725e-08
138746.3969163907; 1.4493105694e-08
138806.2392247556; 1.45538583678e-08
138866.107343534; 1.45523161706e-08
138926.0012838581; 1.45562477749e-08
138985.9210568651; 1.45756356915e-08
139045.8666736964; 1.4626650834e-08
139105.8381454988; 1.45786563775e-08
139165.835483424; 1.46195538691e-08
139225.8586986279; 1.46044850804e-08
139285.9078022715; 1.46360654747e-08
139345.9828055212; 1.46925392287e-08
139406.083719547; 1.48248342828e-08
139466.2105555247; 1.47537380172e-08
139526.363324635; 1.47967542679e-08
139586.5420380623; 1.49550809282e-08
139646.746706997; 1.5008546743e-08
139706.9773426342; 1.50010253577e-08
139767.2339561728; 1.50258856761e-08
139827.5165588177; 1.50334347416e-08
139887.8251617784; 1.51164932074e-08
139948.1597762684; 1.51008219823e-08
140008.520413507; 1.51107195469e-08
140068.9070847183; 1.51288992729e-08
140129.3198011304; 1.51736201533e-08
140189.758573977; 1.5271265971e-08
140250.2234144966; 1.52625644878e-08
140310.714333932; 1.53241282997e-08
140371.2313435314; 1.54317673007e-08
140431.7744545481; 1.54518816714e-08
140492.343678239; 1.54055884767e-08
140552.9390258672; 1.55289365617e-08
140613.5605087; 1.55144990706e-08
140674.2081380101; 1.55522945975e-08
140734.881925074; 1.55461764333e-08
140795.581881174; 1.56155904383e-08
140856.3080175974; 1.55672699419e-08
140917.0603456352; 1.55608779366e-08
140977.8388765845; 1.56046173484e-08
141038.643621747; 1.55871497988e-08
141099.4745924285; 1.56815728334e-08
141160.3317999405; 1.57164526658e-08
141221.2152555996; 1.57487100457e-08
141282.124970726; 1.57812165292e-08
141343.060956646; 1.5853391738e-08
141404.0232246907; 1.58997957474e-08
141465.0117861951; 1.5899134089e-08
141526.0266525001; 1.60163565491e-08
141587.0678349515; 1.60286486694e-08
141648.135344899; 1.59791037492e-08
141709.229193698; 1.60903831805e-08
141770.3493927092; 1.61016853343e-08
141831.4959532968; 1.62346088242e-08
141892.6688868311; 1.62922169257e-08
141953.8682046873; 1.62210627065e-08
142015.0939182446; 1.6248310845e-08
142076.3460388878; 1.62824342124e-08
142137.6245780068; 1.63054375222e-08
142198.9295469955; 1.64474619722e-08
142260.2609572536; 1.64433141057e-08
142321.6188201854; 1.64799052411e-08
142383.0031472004; 1.65324983588e-08
142444.4139497123; 1.65259645218e-08
142505.8512391403; 1.65528408949e-08
142567.3150269087; 1.65364057006e-08
142628.8053244459; 1.66292897747e-08
142690.3221431859; 1.66865164008e-08
142751.865494568; 1.67503450336e-08
142813.4353900352; 1.67727106725e-08
142875.0318410365; 1.68658984985e-08
142936.6548590258; 1.68919405519e-08
142998.3044554609; 1.69263171282e-08
143059.9806418057; 1.70046054713e-08
143121.6834295289; 1.69830492273e-08
143183.4128301032; 1.70000683565e-08
143245.1688550074; 1.70218060531e-08
143306.9515157248; 1.70957171834e-08
143368.7608237431; 1.72360661274e-08
143430.5967905559; 1.72299149342e-08
143492.4594276615; 1.7206151248e-08
143554.3487465624; 1.72881703728e-08
143616.264758767; 1.73270914307e-08
143678.2074757886; 1.73596665027e-08
143740.1769091445; 1.74025230388e-08
143802.1730703581; 1.74321806291e-08
143864.1959709574; 1.75362915955e-08
143926.2456224749; 1.75558413199e-08
143988.3220364486; 1.75913861223e-08
144050.4252244215; 1.75331273095e-08
144112.5551979415; 1.76162713467e-08
144174.7119685611; 1.76346206847e-08
144236.895547838; 1.77050246374e-08
144299.1059473356; 1.77173481244e-08
144361.3431786209; 1.78723960787e-08
144423.6072532669; 1.7848480351e-08
144485.8981828517; 1.78443955618e-08
144548.2159789575; 1.78982994434e-08
